Club,Genre,Address,Access,Age,Feature,url,longitude,latitude
能開センター 和歌山校(小学部),学習塾,和歌山県和歌山市太田1-9-9市川ビル1F,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123656,34.2312643,135.1923391
Ｊ―Ｃａｍｐｕｓ西庄,学習塾,和歌山県和歌山市西庄３３７－２,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032888,34.2573178,135.1159498
イクウェル（ＥＱＷＥＬ）チャイルドアカデミー紀三井寺教室,幼児教室,和歌山県和歌山市布引６１８－１,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000053607,34.1734058,135.1864196
個別指導イースクール紀之川ゼミ本部校,学習塾,和歌山県和歌山市加納２６２－９,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032762,34.2466331,135.201174
スタッド 布引教室,学習塾,和歌山県和歌山市布引796-2,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123964,34.1707389,135.1837271
童夢ぽけっと,絵画・造形,和歌山県和歌山市田中町２丁目６４,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000044154,34.2274472,135.1858466
オズマ学習塾,学習塾,和歌山県和歌山市和歌川町３－１３,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032547,34.1958115,135.1799654
Ｓ級進学教室,学習塾,和歌山県和歌山市楠見中１－４,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032914,34.2532894,135.1791539
音楽文化堂ピアノワールド,ピアノ,和歌山県和歌山市雑賀屋町東ノ丁７１,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000048817,34.225865,135.1702317
個別指導のスクールIE　手平校,学習塾,和歌山県和歌山市手平5-1-15,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123730,34.2158606,135.1867061
みやび個別指導学院 六十谷校,学習塾,和歌山県和歌山市園部863番5,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123936,34.2624705,135.1948373
スタッド 湊御殿教室,学習塾,和歌山県和歌山市湊御殿1-7-36,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123962,34.2224131,135.1585726
ソラティオーラ和歌山,サッカー・フットサル,和歌山県和歌山市三葛５１０　屋上スポーツ広場、他,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123954,34.1958547,135.1879123
新極真会和歌山県支部,空手・拳法,和歌山県和歌山市井辺４３７－２１,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000001231,34.2227596,135.2154544
前田ピアノ教室,ピアノ,和歌山県和歌山市和歌浦中２丁目８－１９,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000048843,34.190512,135.1698295
ユニスタイル和歌山,幼児教室,和歌山県和歌山市太田４丁目４－４１,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000054478,34.22876189999999,135.1960338
個別指導Ｗａｍ,学習塾,和歌山県和歌山市六十谷２２６－１５,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032560,34.2614965,135.204988
